ID;CATEGORY;NAME;ATTRIBUTE1;ATTRIBUTE2;VALUE1;VALUE2;DESCRIPTION;BRAND;FEATURE;PRICE;PVP_BIGBUY;PVD;IVA;VIDEO;EAN13;WIDTH;HEIGHT;DEPTH;WEIGHT;STOCK;DATE_ADD;DATE_UPD;IMAGE1;IMAGE2;IMAGE3;IMAGE4;IMAGE5;IMAGE6;IMAGE7;IMAGE8;CONDITION;INTRASTAT
S0309751;2570,2598,2600;Bague Femme Panarea AS154RU1 (14 mm);;;;;<ul><li>Genre: Femme</li><li>Couleur: Bronze</li><li>Matériel: Argent</li><li>Taille: 14 mm</li></ul><br>Nous vons présentons <b>Bague Femme Panarea AS154RU1 (14 mm)</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.;2322;;155;29.18;25.41;21;0;8,43531E+12;10;10;10;0.3;1;14/08/2017 12:50;25/11/2021 12:31;https://cdnbigbuy.com/images/8435309000093_S0309751_ok_P00.jpg;https://cdnbigbuy.com/images/6923_mandatory-ring0.jpg;;;;;;;NEW;71179000
S0324643;2570,2635,2995;Montre Femme Chronotech CT7888L-01 (Ø 35 mm);;;;;Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez <b>Montre Femme Chronotech CT7888L-01 (Ø 35 mm)</b> au meilleur prix.<br><ul><li>Matériau du bracelet: Cuir</li><li>Couleur du bracelet: Bleu</li><li>Couleur du boîtier: Transparent</li><li>Type de fermeture: Boucle</li><li>Verre: Minéral</li><li>Couleur du cadran: Bleu</li><li>Imperméabilité: Non</li><li>Diamètre du boîtier: Ø 35 mm</li><li>Inclut: Le coffret de la marque est inclus</li><li>Type de mouvement: Quartz</li><li>Matériau du boîtier de la montre: Polycarbonate</li></ul>;1801;;218;46.94;37.37;21;0;8,03273E+12;10;10;10;0.3;10;26/03/2019 10:21;08/09/2022 05:25;https://cdnbigbuy.com/images/8032732989775_0_P00.jpg;https://cdnbigbuy.com/images/21110_mandatory-watch0.jpg;;;;;;;NEW;91021100
S0341423;2570,2635,2995;Montre Femme Laura Biagiotti LB0008S-01Z (Ø 21 mm);;;;;Si vous aimez suivre les dernières tendances en matière de mode et accessoires, achetez <b>Montre Femme Laura Biagiotti LB0008S-01Z (Ø 21 mm)</b> au meilleur prix.<br><ul><li>Matériau du bracelet: Acier</li><li>Type de fermeture: A pression</li><li>Verre: Minéral</li><li>Couleur du cadran: Argenté</li><li>Imperméabilité: Non</li><li>Inclut: Le coffret de la marque est inclus</li><li>Type de mouvement: Quartz</li><li>Diamètre du boîtier: Ø 21 mm</li><li>Couleur du boîtier: Argenté</li><li>Couleur du bracelet: Argenté</li><li>Matériau du boîtier de la montre: <ul><li>Acier</li><li>Acier inoxydable</li></ul></li></ul>;1399;;190;24.88;21.11;21;0;8,03264E+12;10;10;10;0.3;95;29/10/2020 10:22;15/07/2022 18:02;https://cdnbigbuy.com/images/8032636430465_A00.jpg;https://cdnbigbuy.com/images/37785_mandatory-watch0.jpg;;;;;;;NEW;91021100
S0355231;2570,2598,2600;Bague Femme Folli Follie 1R18T014A;Taille ;;12;;Nous vons présentons <b>Bague Femme Folli Follie 1R18T014A</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.<br><ul><li>Couleur: Noir</li><li>Matériel: Acier inoxydable</li></ul>;1816;;60;18.06;14.63;21;0;5,20534E+12;10;10;10;0.3;4;07/06/2021 15:24;08/02/2022 11:25;https://cdnbigbuy.com/images/5205340664188_S0355231_P00.jpg;https://cdnbigbuy.com/images/53162_mandatory-ring0.jpg;;;;;;;NEW;71171900
S0355232;2570,2598,2600;Bague Femme Folli Follie 1R18T014A;Taille ;;16;;Nous vons présentons <b>Bague Femme Folli Follie 1R18T014A</b> et une vaste gamme de bagues, bracelets, boucles d'oreilles et pendentifs etc. à bon prix. Découvrez d'exclusifs et élégants articles de bijouterie et de bijouterie fantaisie pour tous les goûts.<br><ul><li>Couleur: Noir</li><li>Matériel: Acier inoxydable</li></ul>;1816;;60;18.06;14.63;21;0;8,43178E+12;10;10;10;0.3;1;07/06/2021 15:24;08/02/2022 11:25;https://cdnbigbuy.com/images/5205340664188_S0355231_P00.jpg;https://cdnbigbuy.com/images/53162_mandatory-ring0.jpg;;;;;;;NEW;71171900
S0727197;2570,2573,2575;Chaussettes ACDC Adulte Gris;Taille ;;35-41;;Si vous envisagez de renouveler votre garde-robe, achetez <b>Chaussettes ACDC Adulte Gris</b> et d’autres<b>produits ACDC</b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Couleur: Gris</li><li>Taille: Adulte</li><li>Composition: <ul><li>12 % Polyamide</li><li>2 % Élasthanne</li><li>86 % Coton</li></ul></li><li>Type: Chaussettes</li><li>Genre: Unisexe</li><li>Style: Casual</li></ul>;4214;;6;4.2;3.15;21;0;8,42793E+12;20;3.6;25;0.15;6;07/12/2021 09:26;12/09/2022 08:28;https://cdnbigbuy.com/images/8427934515202_S0727197_P01.jpg;https://cdnbigbuy.com/images/8427934515202_S0727197_P11.jpg;;;;;;;NEW;61159610
S0727202;2570,2573,2575;Chaussettes ACDC Adulte Gris;Taille ;;40-46;;Si vous envisagez de renouveler votre garde-robe, achetez <b>Chaussettes ACDC Adulte Gris</b> et d’autres<b>produits ACDC</b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Couleur: Gris</li><li>Taille: Adulte</li><li>Composition: <ul><li>12 % Polyamide</li><li>2 % Élasthanne</li><li>86 % Coton</li></ul></li><li>Type: Chaussettes</li><li>Genre: Unisexe</li><li>Style: Casual</li></ul>;4214;;5.99;3.85;2.89;21;0;8,42793E+12;9.5;3.6;23;0.1;7;07/12/2021 09:26;12/09/2022 08:28;https://cdnbigbuy.com/images/8427934515202_S0727197_P01.jpg;https://cdnbigbuy.com/images/8427934515202_S0727197_P11.jpg;;;;;;;NEW;61159610
S6414055;2570,2573,2975;Tongs pour Homme Rider Strike Noir;Taille des chaussures;;39-40;;L'amusement est assuré pour l'été, avec ces propositions qui plairont aux petits et aux grands! Achetez <b>Tongs pour Homme Rider Strike Noir</b> et profitez de votre temps libre!<br><ul><li>Couleur: Noir</li><li>Genre: Unisexe</li><li>Âge recommandé: Adultes</li></ul>;3477;;43.64;34.91;28.63;21;0;7,90951E+12;35;11;20;0.66;7;27/01/2022 07:16;03/08/2022 13:37;https://cdnbigbuy.com/images/7909510366213_S6414058_P00.jpg;https://cdnbigbuy.com/images/30759_tallas-calzado0.jpg;https://cdnbigbuy.com/images/7909510366206_R20.jpg;https://cdnbigbuy.com/images/7909510366190_R20.jpg;https://cdnbigbuy.com/images/7909510366183_R20.jpg;;;;NEW;61159610
S6414056;2570,2573,2975;Tongs pour Homme Rider Strike Noir;Taille des chaussures;;41-42;;L'amusement est assuré pour l'été, avec ces propositions qui plairont aux petits et aux grands! Achetez <b>Tongs pour Homme Rider Strike Noir</b> et profitez de votre temps libre!<br><ul><li>Couleur: Noir</li><li>Genre: Unisexe</li><li>Âge recommandé: Adultes</li></ul>;3477;;43.64;34.91;28.63;21;0;7,90951E+12;35;11;20;0.66;18;27/01/2022 07:16;03/08/2022 13:37;https://cdnbigbuy.com/images/7909510366213_S6414058_P00.jpg;https://cdnbigbuy.com/images/30759_tallas-calzado0.jpg;https://cdnbigbuy.com/images/7909510366206_R20.jpg;https://cdnbigbuy.com/images/7909510366190_R20.jpg;https://cdnbigbuy.com/images/7909510366183_R20.jpg;;;;NEW;61159610
S6414057;2570,2573,2975;Tongs pour Homme Rider Strike Noir;Taille des chaussures;;43-44;;L'amusement est assuré pour l'été, avec ces propositions qui plairont aux petits et aux grands! Achetez <b>Tongs pour Homme Rider Strike Noir</b> et profitez de votre temps libre!<br><ul><li>Couleur: Noir</li><li>Genre: Unisexe</li><li>Âge recommandé: Adultes</li></ul>;3477;;43.64;34.91;28.63;21;0;7,90951E+12;35;11;20;0.66;23;27/01/2022 07:16;03/08/2022 13:37;https://cdnbigbuy.com/images/7909510366213_S6414058_P00.jpg;https://cdnbigbuy.com/images/30759_tallas-calzado0.jpg;https://cdnbigbuy.com/images/7909510366206_R20.jpg;https://cdnbigbuy.com/images/7909510366190_R20.jpg;https://cdnbigbuy.com/images/7909510366183_R20.jpg;;;;NEW;61159610
S6414058;2570,2573,2975;Tongs pour Homme Rider Strike Noir;Taille des chaussures;;45-46;;L'amusement est assuré pour l'été, avec ces propositions qui plairont aux petits et aux grands! Achetez <b>Tongs pour Homme Rider Strike Noir</b> et profitez de votre temps libre!<br><ul><li>Couleur: Noir</li><li>Genre: Unisexe</li><li>Âge recommandé: Adultes</li></ul>;3477;;43.64;34.91;28.63;21;0;7,90951E+12;35;11;20;0.66;9;27/01/2022 07:16;03/08/2022 13:37;https://cdnbigbuy.com/images/7909510366213_S6414058_P00.jpg;https://cdnbigbuy.com/images/30759_tallas-calzado0.jpg;https://cdnbigbuy.com/images/7909510366206_R20.jpg;https://cdnbigbuy.com/images/7909510366190_R20.jpg;https://cdnbigbuy.com/images/7909510366183_R20.jpg;;;;NEW;61159610
S3533576;2570,2573,2575;Soutien-gorge 6341D (090D) (Reconditionné A+);;;;;Si vous envisagez de renouveler votre garde-robe, achetez <b>Soutien-gorge 6341D (090D) (Reconditionné A+)</b> et d’autres<b>produits </b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Design: Femme</li></ul>RECONDITIONNÉS: Il s´agit de produits renvoyés pendant la période de désistement ou d´exposition qui ont pu être utilisés pour effectuer des tests  certains se vendent avec l´emballage en mauvaise état ou avec l´emballage original visiblement ouvert. Tous les produits ont subi une révision, ils contiennent la garantie officielle de la marque et fonctionnent parfaitement. Classification selon leur état:<br/> <ul> <li>A+/ Impeccable : produits en état impeccable dont l´emballage original peut se trouver ouvert ou a été remplacé par un autre en parfaites conditions.</li> <li>A/ Comme neuf : produits en parfait état comme neuf dont l´emballage original peut se trouver ouvert ou légèrement détérioré, ou a été remplacé par un autre.</li> <li>B/ Très bien : produits en très bon état, avec de possibles défauts esthétiques légers, qui fonctionnent parfaitement et dont l´emballage original peut se trouver ouvert ou légèrement détérioré.</li> <li>C/ Bon état : produits en bon état, avec de possibles défauts esthétiques, qui fonctionnent parfaitement et dont l´emballage original peut se trouver ouvert ou légèrement détérioré.</li> <li>D/ Correct : produits en correct état, avec de possibles défauts esthétiques ou manque d´un accessoires quelconques, qui fonctionnent parfaitement et dont l´emballage original peut se trouver ouvert ou légèrement détérioré.</li> </ul>;3221;;42;13.66;9.7;21;0;8,40468E+11;23;24;8;0.25;1;05/05/2022 13:04;02/09/2022 01:48;https://cdnbigbuy.com/images/B000VK2DHW_R02.jpg;https://cdnbigbuy.com/images/B000VK2DHW_R12.jpg;;;;;;;REFURBISHED_A_PLUS;61091000
S6451883;2570,2573,2582;Décorations Crocs Peanuts Snoopy  Blanc;;;;;Si vous envisagez de renouveler votre garde-robe, achetez <b>Décorations Crocs Peanuts Snoopy  Blanc</b> et d’autres<b>produits Crocs</b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Couleur: Blanc</li><li>Genre: <ul><li>Unisexe</li><li>Pour les filles</li></ul></li><li>Âge recommandé: Adultes</li><li>Type: Compléments</li></ul>;3454;;4.97;3.48;2.68;21;0;1,91448E+11;8;8;8;0.1;0;02/08/2022 09:20;11/09/2022 19:36;https://cdnbigbuy.com/images/0191448438002_S6451883_P01.jpg;https://cdnbigbuy.com/images/0191448438002_S6451883_P11.jpg;;;;;;;NEW;69139098
S2019444;2570,2573,2575;Chaussettes  C34034 NO-SHOW Spalding;Taille des chaussures;;39-42;;Si vous envisagez de renouveler votre garde-robe, achetez <b>Chaussettes  C34034 NO-SHOW Spalding</b> et d’autres<b>produits Spalding</b>! La meilleure qualité au meilleur prix est à votre portée!<br><ul><li>Type: Chaussettes</li><li>Couleur: Noir</li><li>Genre: <ul><li>Unisexe</li><li>Adultes</li></ul></li><li>Composition: 100 % coton</li></ul>;3490;;4.37;3.58;3.04;21;0;8,30078E+12;11.22;17.48;10.43;0.3;94;04/08/2022 06:04;19/07/2022 07:09;https://cdnbigbuy.com/images/8300783060843_S2019444_P11.jpg;https://cdnbigbuy.com/images/8300783060843_S2019444_P01.jpg;https://cdnbigbuy.com/images/8300783060843_S2019444_P51.jpg;https://cdnbigbuy.com/images/8300783060843_S2019444_P41.jpg;https://cdnbigbuy.com/images/8300783060843_S2019444_P31.jpg;https://cdnbigbuy.com/images/8300783060843_S2019444_P21.jpg;;;NEW;61159610
